PULocationID,pickup_bin_10m,pickup_demand
132,2025-11-16 23:50:00,64.0
132,2025-11-17 00:00:00,48.0
132,2025-11-17 00:10:00,54.0
132,2025-11-17 00:20:00,51.0
132,2025-11-17 00:30:00,54.0
132,2025-11-17 00:40:00,42.0
132,2025-11-17 00:50:00,19.0
132,2025-11-17 01:00:00,5.0
132,2025-11-17 01:10:00,8.0
132,2025-11-17 01:20:00,9.0
132,2025-11-17 01:30:00,40.0
132,2025-11-17 01:40:00,34.0
132,2025-11-17 01:50:00,3.0
132,2025-11-17 02:00:00,5.0
132,2025-11-17 02:10:00,4.0
132,2025-11-17 02:20:00,0.0
132,2025-11-17 02:30:00,0.0
132,2025-11-17 02:40:00,0.0
132,2025-11-17 02:50:00,2.0
132,2025-11-17 03:00:00,0.0
132,2025-11-17 03:10:00,1.0
132,2025-11-17 03:20:00,8.0
132,2025-11-17 03:30:00,5.0
132,2025-11-17 03:40:00,0.0
132,2025-11-17 03:50:00,0.0
132,2025-11-17 04:00:00,1.0
132,2025-11-17 04:10:00,1.0
132,2025-11-17 04:20:00,1.0
132,2025-11-17 04:30:00,2.0
132,2025-11-17 04:40:00,4.0
132,2025-11-17 04:50:00,10.0
132,2025-11-17 05:00:00,17.0
132,2025-11-17 05:10:00,21.0
132,2025-11-17 05:20:00,19.0
132,2025-11-17 05:30:00,19.0
132,2025-11-17 05:40:00,18.0
132,2025-11-17 05:50:00,19.0
132,2025-11-17 06:00:00,30.0
132,2025-11-17 06:10:00,17.0
132,2025-11-17 06:20:00,26.0
132,2025-11-17 06:30:00,33.0
132,2025-11-17 06:40:00,29.0
132,2025-11-17 06:50:00,27.0
132,2025-11-17 07:00:00,32.0
132,2025-11-17 07:10:00,27.0
132,2025-11-17 07:20:00,24.0
132,2025-11-17 07:30:00,38.0
132,2025-11-17 07:40:00,37.0
132,2025-11-17 07:50:00,27.0
132,2025-11-17 08:00:00,37.0
132,2025-11-17 08:10:00,33.0
132,2025-11-17 08:20:00,30.0
132,2025-11-17 08:30:00,22.0
132,2025-11-17 08:40:00,26.0
132,2025-11-17 08:50:00,37.0
132,2025-11-17 09:00:00,31.0
132,2025-11-17 09:10:00,28.0
132,2025-11-17 09:20:00,21.0
132,2025-11-17 09:30:00,33.0
132,2025-11-17 09:40:00,34.0
132,2025-11-17 09:50:00,23.0
132,2025-11-17 10:00:00,25.0
132,2025-11-17 10:10:00,27.0
132,2025-11-17 10:20:00,12.0
132,2025-11-17 10:30:00,20.0
132,2025-11-17 10:40:00,32.0
132,2025-11-17 10:50:00,33.0
132,2025-11-17 11:00:00,14.0
132,2025-11-17 11:10:00,21.0
132,2025-11-17 11:20:00,32.0
132,2025-11-17 11:30:00,29.0
132,2025-11-17 11:40:00,29.0
132,2025-11-17 11:50:00,27.0
132,2025-11-17 12:00:00,26.0
132,2025-11-17 12:10:00,43.0
132,2025-11-17 12:20:00,38.0
132,2025-11-17 12:30:00,34.0
132,2025-11-17 12:40:00,28.0
132,2025-11-17 12:50:00,56.0
132,2025-11-17 13:00:00,51.0
132,2025-11-17 13:10:00,60.0
132,2025-11-17 13:20:00,78.0
132,2025-11-17 13:30:00,63.0
132,2025-11-17 13:40:00,56.0
132,2025-11-17 13:50:00,56.0
132,2025-11-17 14:00:00,73.0
132,2025-11-17 14:10:00,65.0
132,2025-11-17 14:20:00,67.0
132,2025-11-17 14:30:00,95.0
132,2025-11-17 14:40:00,70.0
132,2025-11-17 14:50:00,53.0
132,2025-11-17 15:00:00,39.0
132,2025-11-17 15:10:00,59.0
132,2025-11-17 15:20:00,69.0
132,2025-11-17 15:30:00,77.0
132,2025-11-17 15:40:00,75.0
132,2025-11-17 15:50:00,62.0
132,2025-11-17 16:00:00,94.0
132,2025-11-17 16:10:00,84.0
132,2025-11-17 16:20:00,110.0
132,2025-11-17 16:30:00,131.0
132,2025-11-17 16:40:00,101.0
132,2025-11-17 16:50:00,97.0
132,2025-11-17 17:00:00,89.0
132,2025-11-17 17:10:00,82.0
132,2025-11-17 17:20:00,74.0
132,2025-11-17 17:30:00,75.0
132,2025-11-17 17:40:00,55.0
132,2025-11-17 17:50:00,57.0
132,2025-11-17 18:00:00,60.0
132,2025-11-17 18:10:00,61.0
132,2025-11-17 18:20:00,60.0
132,2025-11-17 18:30:00,61.0
